match_id,team1,team2,venue,first_innings_team,is_team1_batting_first,home_advantage,h2h_win_rate,recent_form_t1,recent_form_t2,team1_overall_win_rate,team2_overall_win_rate,avg_score_venue,toss_venue_win_rate,venue_win_rate_t1,venue_win_rate_t2,t1_top_batsmen_avg,t2_top_batsmen_avg,t1_top_bowler_econ,t2_top_bowler_econ,team1_won
1423,New Zealand,South Africa,Seddon Park,New Zealand,1,0,0.333,0.8,0.7,0.5,0.615,160.9,0.482,1,0.5,25.1,19.12,6.94,6.98,0
1424,New Zealand,South Africa,Eden Park,South Africa,0,0,0.286,0.7,0.7,0.49,0.625,156.6,0.286,0.429,0.5,25.1,19.12,6.94,6.98,0
1433,England,Pakistan,Dubai International Cricket Stadium,Pakistan,0,0,0.714,0.7,0.5,0.512,0.617,140.7,0.444,0.5285,0.8,9,12.85,8.64,6.54,0
1434,England,Pakistan,Dubai International Cricket Stadium,England,1,0,0.625,0.6,0.6,0.5,0.625,141,0.5,0.333,0.833,6.5,12.85,8.64,6.54,1
1435,England,Pakistan,Sheikh Zayed Stadium,England,1,0,0.667,0.6,0.6,0.512,0.612,160.9,0.485,0.5285,0.333,6.33,13.3,8.64,6.65,1
1472,Canada,Netherlands,Dubai International Cricket Stadium,Netherlands,0,0,0,0.5,0.6,0.5,0.6,141.8,0.545,0.5285,0.5,25.1,11,6.94,7.65,0
1474,Ireland,Scotland,Dubai International Cricket Stadium,Ireland,1,0,1,0.6,0.167,0.571,0.167,135.8,0.538,1,0.5,9.58,0.5,5.11,8.25,1
1475,Canada,Ireland,Dubai International Cricket Stadium,Canada,1,0,0.5,0.5,0.7,0.5,0.6,137.5,0.571,0,1,25.1,8.29,6.94,5.43,0
1476,Ireland,Netherlands,Dubai International Cricket Stadium,Netherlands,0,0,1,0.8,0.667,0.625,0.667,135.4,0.533,1,0.667,11.12,11,5.53,7.65,1
1477,Canada,Scotland,Dubai International Cricket Stadium,Canada,1,0,0.5,0.5,0.143,0.5,0.143,135.4,0.533,0,0.5,25.1,1.58,6.94,8.59,0
1467,West Indies,Australia,Beausejour Stadium,West Indies,1,0,0.4,0.3,0.3,0.394,0.511,158.3,0.5,0.5285,1,17.12,22.86,8.92,8.2,0
1468,West Indies,Australia,Kensington Oval,West Indies,1,0,0.333,0.3,0.4,0.382,0.521,156.3,0.727,0.667,0.6,16.38,22.86,8.92,8.2,1
1478,South Africa,India,New Wanderers Stadium,South Africa,1,0,0.2,0.7,0.5,0.634,0.516,166.3,0.444,0.7,0.667,19.12,24.5,6.94,6.98,1
1481,Sri Lanka,Pakistan,Mahinda Rajapaksa International Cricket Stadium,Sri Lanka,1,0,0.286,0.6,0.6,0.583,0.6,160.9,0.486,0.5285,0.5,25.1,12.95,6.94,6.63,1
1482,Sri Lanka,Pakistan,Mahinda Rajapaksa International Cricket Stadium,Pakistan,0,0,0.375,0.7,0.6,0.595,0.588,160.9,0.488,0.5285,0.5,25.1,12.95,6.94,6.63,0
1462,England,West Indies,Trent Bridge,West Indies,0,0,0.286,0.6,0.3,0.523,0.4,152.6,0.6,0.5285,0.5,6.25,17.62,8.64,8.92,1
1479,New Zealand,West Indies,Central Broward Regional Park Stadium Turf Ground,West Indies,0,0,0.333,0.7,0.3,0.48,0.389,160.9,0.488,0.5285,0.5,25.1,17.62,6.94,8.92,0
1480,New Zealand,West Indies,Central Broward Regional Park Stadium Turf Ground,West Indies,0,0,0.25,0.6,0.4,0.471,0.405,160.9,0.491,0.333,0.5,25.1,17.08,6.94,8.92,0
1483,Sri Lanka,India,Pallekele International Cricket Stadium,India,0,0,0.5,0.6,0.5,0.579,0.5,160.9,0.491,0.5285,0.5,25.1,24.5,6.94,6.98,0
1500,Australia,Pakistan,Dubai International Cricket Stadium,Australia,1,0,0.429,0.4,0.6,0.51,0.596,134.1,0.471,0.5285,0.714,22.08,12.95,8.2,6.63,0
1463,England,South Africa,Riverside Ground,England,1,0,0.4,0.6,0.7,0.533,0.643,160.9,0.489,0.5285,0.5,6.25,19.12,8.64,6.98,0
1502,Australia,Pakistan,Dubai International Cricket Stadium,Australia,1,0,0.333,0.3,0.6,0.49,0.593,132.6,0.421,0,0.667,20.13,12.95,8.32,6.63,1
1486,India,New Zealand,MA Chidambaram Stadium,New Zealand,0,0,0,0.6,0.5,0.515,0.462,160.9,0.486,0.5285,0.5,25.1,24.5,6.94,6.98,0
1465,England,South Africa,Edgbaston,England,1,0,0.286,0.6,0.6,0.511,0.636,160.9,0.489,0.5285,0.5,6.1,19.12,8.64,6.98,1
1437,Sri Lanka,Zimbabwe,Mahinda Rajapaksa International Cricket Stadium,Sri Lanka,1,0,1,0.6,0.133,0.564,0.133,160.9,0.491,0.5285,0.5,25.1,7.75,6.94,7.25,1
1438,Australia,Ireland,R Premadasa Stadium,Ireland,0,0,0.5,0.4,0.7,0.5,0.611,160.9,0.493,0.5285,0.5,19.53,10.85,6.31,5.83,1
1439,South Africa,Zimbabwe,Mahinda Rajapaksa International Cricket Stadium,Zimbabwe,0,0,1,0.5,0.125,0.622,0.125,160.9,0.491,0.5285,0.5,19.12,6.83,6.94,7.25,1
1442,Australia,West Indies,R Premadasa Stadium,West Indies,0,0,0.571,0.5,0.5,0.509,0.421,155.4,0.6,0.5285,0.5,19.63,17.71,6.43,8.92,1
1441,Sri Lanka,South Africa,Mahinda Rajapaksa International Cricket Stadium,South Africa,0,0,0.5,0.7,0.6,0.575,0.63,160.9,0.491,0.667,0.5,25.1,19.12,6.94,6.98,0
1444,England,India,R Premadasa Stadium,India,0,0,0.75,0.6,0.5,0.521,0.5,161.3,0.5,0.5285,0.5,8.17,24.5,8.64,6.98,0
1443,New Zealand,Pakistan,Pallekele International Cricket Stadium,Pakistan,0,0,0.375,0.6,0.5,0.481,0.582,160.9,0.491,0.5285,0.5,25.1,12.95,6.94,6.63,0
1448,England,West Indies,Pallekele International Cricket Stadium,West Indies,0,0,0.375,0.5,0.4,0.51,0.4,175.5,0.833,0.5285,0.5,8.14,16.73,8.64,9,0
1450,Australia,India,R Premadasa Stadium,India,0,0,0.5,0.5,0.5,0.519,0.514,158.4,0.5,0.5285,0.5,19.63,24.5,7.3,6.98,1
1449,Pakistan,South Africa,R Premadasa Stadium,South Africa,0,0,0.5,0.5,0.7,0.596,0.638,158.4,0.5,0.5285,0.5,12.7,19.12,6.78,6.98,1
1451,England,New Zealand,Pallekele International Cricket Stadium,New Zealand,0,0,0.8,0.5,0.4,0.5,0.464,175.8,0.75,0.5285,0.333,7.5,24.5,8.64,6.98,1
1452,Sri Lanka,West Indies,Pallekele International Cricket Stadium,West Indies,0,0,1,0.5,0.5,0.548,0.415,175.8,0.75,0.5,0.5,25.1,20.68,6.94,9,1
1454,India,Pakistan,R Premadasa Stadium,Pakistan,0,0,0.5,0.4,0.5,0.5,0.603,154,0.4,0.667,0.5,25.1,12.7,6.94,6.78,1
1453,Australia,South Africa,R Premadasa Stadium,South Africa,0,0,0.5,0.6,0.6,0.527,0.625,154,0.4,1,0.5,19.63,19.12,7.27,6.98,1
1456,Sri Lanka,England,Pallekele International Cricket Stadium,Sri Lanka,1,0,0.667,0.5,0.5,0.558,0.51,168.3,0.6,0.6,0.5,25.1,7.22,6.94,8.64,1
1457,Australia,Pakistan,R Premadasa Stadium,Pakistan,0,0,0.4,0.6,0.5,0.536,0.593,151.2,0.333,1,0.667,19.63,13.25,7.35,6.98,0
1458,India,South Africa,R Premadasa Stadium,India,1,0,0.667,0.4,0.6,0.514,0.612,151.2,0.333,0.75,0.5,25.1,19.12,6.94,6.98,1
1459,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,1,0,0.333,0.5,0.6,0.568,0.6,151.1,0.429,0,0.75,25.1,13.25,6.94,6.98,1
1460,Australia,West Indies,R Premadasa Stadium,West Indies,0,0,0.625,0.6,0.4,0.526,0.395,150.3,0.467,0.8,0.5,19.41,19.04,7.26,9.13,0
1461,Sri Lanka,West Indies,R Premadasa Stadium,West Indies,0,0,1,0.5,0.5,0.578,0.409,153.7,0.5,0.2,0.333,25.1,17.74,6.94,10.12,0
1484,India,England,Subrata Roy Sahara Stadium,England,0,0,0.4,0.5,0.5,0.526,0.5,160.9,0.49,0.5285,0.5,25.1,7.15,6.94,8.64,1
1493,South Africa,New Zealand,Kingsmead,New Zealand,0,0,0.75,0.5,0.2,0.6,0.441,157.6,0.625,0.5285,0.667,19.12,24.5,6.94,6.98,1
1485,India,England,Wankhede Stadium,India,1,1,0.5,0.6,0.4,0.538,0.491,170.2,0.486,0.5285,0.5,25.1,8.65,6.94,8.64,0
1494,South Africa,New Zealand,Buffalo Park,South Africa,1,0,0.778,0.5,0.2,0.608,0.433,160.9,0.484,0.5285,0.5,23.56,10,6.94,12,0
1509,India,Pakistan,M Chinnaswamy Stadium,India,1,1,0.667,0.6,0.6,0.525,0.59,170.2,0.482,0.5285,0.5,25.1,13.25,6.94,6.98,0
1495,South Africa,New Zealand,St George's Park,South Africa,1,0,0.7,0.4,0.3,0.596,0.443,160.9,0.48,0.5285,0.5,24.33,10,6.94,12,1
1510,India,Pakistan,Sardar Patel Stadium,India,1,0,0.5,0.5,0.6,0.512,0.597,160.9,0.482,0.5285,0.5,25.1,13.25,6.94,6.98,1
1503,Australia,Sri Lanka,Stadium Australia,Australia,1,0,0.333,0.5,0.4,0.517,0.553,160.9,0.484,0.5285,0.5,18.84,24.5,7.33,6.98,0
1504,Australia,Sri Lanka,Melbourne Cricket Ground,Sri Lanka,0,1,0.286,0.5,0.5,0.508,0.562,132.2,0.6,0.8,0.5,18.84,24.5,7.13,6.98,0
1497,New Zealand,England,Eden Park,England,0,0,0.167,0.3,0.4,0.435,0.5,157.6,0.375,0.375,0.5,11,8.65,12,8.64,0
1498,New Zealand,England,Seddon Park,New Zealand,1,0,0.143,0.2,0.4,0.429,0.509,165.4,0.4,0.8,0.5,11,9.85,12,8.64,1
1505,Australia,West Indies,Brisbane Cricket Ground,West Indies,0,1,0.556,0.5,0.6,0.5,0.435,156.9,0.489,0.5285,0.5,16.11,15.38,7.19,10.53,0
1499,New Zealand,England,Westpac Stadium,New Zealand,1,0,0.25,0.2,0.4,0.438,0.5,160.9,0.49,0.5,0.5,11,12.2,12,8.64,0
